leader,startdate,enddate,angloedu,westedu,noedu,polity2change,BMRtransition,ethfrac,britcolony,igdp,ioil,usally,studentflowthousand
Calderon Fournier,08/05/1990,08/05/1994,0,0,0,0,0,0.07109004259109497,0,0.0632552978515625,0,1,0.9549999833106995
Calderon Sol,01/06/1994,01/06/1999,0,0,0,0,0,0.16591870784759521,0,0.0411114013671875,0,0,0.871999979019165
Callejas,27/01/1990,27/01/1994,1,1,0,0,0,0.16173255443572998,0,0.024319099121093746,0,1,1.3250000476837158
Campaore,15/10/1987,31/12/2004,0,0,1,7,0,0.6782554388046265,0,0.008138099975585938,0,0,0.03200000151991844
Campins,12/03/1979,02/02/1984,0,0,0,0,0,0.10734701156616211,0,0.09730669921875,1,1,5.758999824523926
Carazo Odio,08/05/1978,08/05/1982,0,0,0,0,0,0.07109004259109497,0,0.06844740234375,0,1,0.3499999940395355
Cardoso,01/01/1995,01/01/2003,0,1,0,0,0,0.07058024406433105,0,0.06971759765625,0,0,5.017000198364258
Castillo Armas,08/07/1954,20/07/1957,0,0,1,-8,0,0.6436841487884521,0,0.023128100585937502,0,1,0.24799999594688416
Castro,02/01/1959,31/12/2004,0,0,0,2,0,0.03572362661361694,0,0.02668010009765625,0,1,1.0460000038146973
Ceausescu,22/03/1965,25/12/1989,0,0,1,-1,0,0.2521630525588989,0,0.01589280029296875,0,0,0.014000000432133675
Cedras,30/09/1991,14/10/1994,0,0,1,-14,0,0.013591229915618896,0,0.01951550048828125,0,0,1.2990000247955322
Cerezo,14/01/1986,14/01/1991,1,1,0,4,1,0.6436841487884521,0,0.0353043994140625,0,1,0.6060000061988831
Chambers,30/03/1981,18/12/1986,0,0,1,1,0,0.5584315061569214,1,0.13554419921875,1,1,1.1380000114440918
Chamoun,23/09/1952,23/09/1958,0,0,0,0,0,0.13480514287948608,0,0.03588050048828125,0,0,0.1469999998807907
Chavez,10/09/1949,06/05/1954,0,0,0,0,0,0.1449223756790161,0,0.004503302001953125,0,1,0.013000000268220901
Chehab,23/09/1958,23/09/1964,0,0,1,0,0,0.13480514287948608,0,0.03588050048828125,0,0,0.45100000500679016
Chen Shui-bian,21/05/2000,31/12/2004,0,0,0,0,0,0.274399995803833,0,0.18252240234375003,0,0,31.042999267578125
Chervenkov,01/02/1950,16/04/1956,0,0,1,0,0,0.21994948387145996,0,0.0563166015625,0,0,0
Chiang Ching-Kuo,20/05/1978,13/01/1988,0,0,0,6,0,0.274399995803833,0,0.0479902001953125,0,1,8.08899974822998
Chiang Kai-shek,01/03/1950,05/04/1975,0,0,1,0,0,0.274399995803833,0,0.00978719970703125,0,1,0
"Chiari, Roberto",01/10/1960,01/10/1964,0,0,1,0,0,0.26085156202316284,0,0.02188840087890625,1,1,0.5569999814033508
Chiluba,02/11/1991,02/01/2002,0,0,1,14,0,0.8182163834571838,1,0.011125400390625,0,0,0.3630000054836273
Chissano,06/11/1986,31/12/2004,0,0,1,13,1,0.654930055141449,0,0.008358400268554687,0,0,0.003000000026077032
Clerides,28/02/1993,28/02/2003,1,1,0,0,0,0.348582923412323,1,0.154663603515625,0,0,1.565999984741211
Conte,03/04/1984,31/12/2004,0,0,1,8,0,0.749607503414154,0,0.022947900390624998,0,0,0.03099999949336052
Cristiani,01/06/1989,01/06/1994,1,1,0,1,0,0.16591870784759521,0,0.0370393994140625,0,1,1.1139999628067017
Crvenkovski,17/08/1992,30/11/1998,0,0,0,0,0,0.5095635056495667,0,0.0532775,0,0,0
Dacko,13/08/1960,01/01/1966,0,0,1,0,NA,0.6862994432449341,0,0.0100985,0,0,0
Daniel Ortega,18/07/1979,25/04/1990,0,0,1,7,1,0.17932868003845215,0,0.0679339013671875,0,1,0.7129999995231628
Debat,16/08/1963,04/09/1968,0,0,1,-11,0,0.6572123765945435,0,0.010931500244140625,0,0,0.05700000002980232
Deby,04/12/1990,31/12/2004,0,0,1,5,0,0.8262728452682495,0,0.008981199951171876,0,0,0.014999999664723873
Deng Xiaoping,10/09/1980,19/02/1997,0,1,0,0,0,0.11845237016677856,0,0.007225700073242187,0,1,0.753000020980835
Diori,03/10/1960,15/04/1974,0,0,0,0,NA,0.7325880527496338,0,0.0116743,0,0,0
