leader,startdate,enddate,angloedu,westedu,noedu,polity2change,BMRtransition,ethfrac,britcolony,igdp,ioil,usally,studentflowthousand
Kuchma,19/07/1994,31/12/2004,0,0,0,1,0,0.41860467195510864,0,0.07362799804687499,0,0,0.31299999356269836
Kumaratunga,12/11/1994,31/12/2004,0,1,0,0,0,0.46704143285751343,1,0.03045739990234375,0,0,2.2009999752044678
Kumba Iala,18/02/2000,14/09/2003,0,1,0,2,0,0.8037569522857666,0,0.005452999877929687,0,0,0.026000000536441803
Kyprianou,03/08/1977,28/02/1988,1,1,0,0,1,0.348582923412323,1,0.056489199218749994,0,0,0.09000000357627869
L. Khan,11/09/1948,16/10/1951,1,1,0,8,1,0.6445090174674988,1,0.008869400024414062,0,1,0
Lacalle de Herrera,01/03/1990,01/03/1995,0,0,0,0,0,0.1981624960899353,0,0.07996259765625,0,1,0.24899999797344208
Laisenia Qarase,14/07/2000,31/12/2004,0,0,0,-1,0,0.7105385065078735,1,0.0467731982421875,0,0,0.16200000047683716
Lamizana,03/01/1966,13/01/1971,0,0,1,3,0,0.6782554388046265,0,0.006460700073242187,0,0,0.004000000189989805
Lamizana,08/02/1974,25/11/1980,0,0,1,9,0,0.6782554388046265,0,0.006915900268554688,0,0,0.003000000026077032
Laugerud Garcia,01/07/1974,01/07/1978,0,0,1,-4,0,0.6436841487884521,0,0.035026201171875,0,1,0.3149999976158142
Laurent Gbagbo,26/10/2000,31/12/2004,0,1,0,1,0,0.8592934608459473,0,0.02174449951171875,0,0,0.4659999907016754
Laurent Kabila,16/05/1997,16/01/2001,0,1,0,0,0,0.9016318321228027,0,0.0048776000976562504,0,0,0.30300000309944153
Le Duan,03/09/1969,10/07/1986,0,0,1,1,NA,0.266163170337677,0,0.0136975,0,1,0.6570000052452087
Lee Kuan Yew,05/06/1959,28/11/1990,1,1,0,-9,NA,0.4193829894065857,1,0.0452781,0,0,0
Lee Teng-Hui,13/01/1988,20/05/2000,1,1,0,10,1,0.274399995803833,0,0.09395980468750001,0,1,23.270000457763672
Leekpai,09/11/1997,09/02/2001,0,0,0,0,0,0.6636521220207214,0,0.0696477001953125,0,0,13.480999946594238
Lekhanya,24/01/1986,02/05/1991,0,0,1,0,0,0.22248250246047974,1,0.011916099853515626,0,0,0.09300000220537186
Lemus,14/09/1956,26/10/1960,0,0,1,1,0,0.16591870784759521,0,0.02947340087890625,0,1,0.26600000262260437
Leoni,01/12/1963,11/03/1969,0,0,0,1,0,0.10734701156616211,0,0.0638352001953125,1,1,1.0779999494552612
Lissouba,31/08/1992,15/10/1997,0,1,0,6,0,0.6572123765945435,0,0.02377909912109375,1,0,0.057999998331069946
Lleras Camargo,07/08/1958,07/08/1962,0,0,0,0,1,0.06015270948410034,0,0.0270818994140625,0,1,0.9629999995231628
Lleras Restropo,07/08/1966,07/08/1970,0,0,0,0,0,0.06015270948410034,0,0.030381201171874997,0,1,1.1959999799728394
Lon Nol,18/03/1970,10/04/1975,0,0,1,4,0,0.2969233989715576,0,0.01957219970703125,0,1,0.029999999329447746
Lopez Arellano,03/10/1963,06/06/1971,0,0,1,0,0,0.16173255443572998,0,0.017056500244140623,0,1,0.15000000596046448
Lopez Michelsen,07/08/1974,07/08/1978,1,1,0,1,0,0.06015270948410034,0,0.0393597998046875,0,1,2.00600004196167
Lucas Garcia,01/07/1978,23/03/1982,0,0,0,-2,0,0.6436841487884521,0,0.037416000976562495,0,1,0.24699999392032623
Lucinschi,15/01/1997,07/04/2001,0,0,0,0,0,0.5515695214271545,0,0.024953701171875,0,0,0.09799999743700027
Luis Somoza Debayle,29/09/1956,01/05/1963,1,1,0,0,0,0.17932868003845215,0,0.04603419921875,0,1,0.2150000035762787
Lukashenko,20/07/1994,31/12/2004,0,0,0,-14,0,0.40291380882263184,0,0.0704389013671875,0,0,0.04100000113248825
Lusinchi,02/02/1984,02/02/1989,1,1,0,0,0,0.10734701156616211,0,0.07763290039062501,1,1,11.501999855041504
Macapagal,14/11/1961,30/12/1965,0,0,0,0,0,0.745177149772644,0,0.020387199707031248,0,1,1.722000002861023
Machel,25/06/1975,19/10/1986,0,0,1,0,NA,0.654930055141449,0,0.0114273,0,0,0.013000000268220901
Macias Nguema,12/10/1968,03/08/1979,0,0,1,-9,NA,NA,0,0.0118881,NA,0,0
Maga,01/01/1960,27/10/1963,0,0,0,0,NA,0.6181775331497192,0,0.0095591,0,0,0
Magloire,10/05/1950,12/12/1956,0,0,1,-1,0,0.013591229915618896,0,0.013254300537109376,0,1,0.08100000023841858
Magsaysay,30/12/1953,17/03/1957,0,0,0,0,0,0.745177149772644,0,0.01549280029296875,0,1,0.8799999952316284
Mahatir Bin Mohammad,16/07/1981,31/10/2003,0,0,0,-1,0,0.6515210866928101,1,0.0495016015625,0,0,5.265999794006348
Mahendra,14/03/1955,31/01/1972,0,0,1,-2,0,0.6992368698120117,0,0.008001599731445312,0,0,0.004000000189989805
Mahmud Khan Ghazi,14/05/1946,07/09/1953,0,0,1,0,0,0.6582809686660767,0,0.017258599853515626,0,0,0.008999999612569809
Mainassara,27/01/1996,11/04/1999,0,0,1,-14,0,0.7325880527496338,0,0.008398099975585938,0,0,0.07199999690055847
Makarios,16/08/1960,15/07/1974,1,1,0,-1,NA,0.348582923412323,1,0.0292198,0,0,0
Malan,03/06/1948,30/11/1954,0,1,0,0,0,0.8772270679473877,1,0.042914697265625,0,0,0.0820000022649765
Malloum,15/04/1975,23/03/1979,0,0,1,6,0,0.8262728452682495,0,0.009023099975585938,0,0,0.006000000052154064
Mamadou,22/12/1999,31/12/2004,0,0,1,11,1,0.7325880527496338,0,0.008831400146484375,0,0,0.014999999664723873
Mamaloni,28/03/1989,18/06/1993,0,0,0,1,0,NA,1,0.019557900390625,NA,0,0.004000000189989805
Mamaloni,31/08/1981,19/11/1984,0,0,0,0,0,NA,1,0.026176599121093748,NA,0,0
Mandela,10/05/1994,16/06/1999,0,0,0,1,1,0.8772270679473877,1,0.072757001953125,0,0,1.8530000448226929
Manley,02/03/1972,01/11/1980,1,1,0,0,0,0.04576665163040161,1,0.0458002978515625,0,1,1.5570000410079956
Manley,10/02/1989,30/03/1992,1,1,0,0,0,0.04576665163040161,1,0.040053999023437495,0,1,2.1010000705718994
Manning,25/12/2001,31/12/2004,0,0,0,0,0,0.5584315061569214,1,0.147700302734375,1,0,2.76200008392334
Manning,16/12/1991,09/11/1995,0,0,0,0,0,0.5584315061569214,1,0.090628203125,1,0,2.006999969482422
Mao Tse-Tung,01/10/1949,09/09/1976,0,0,1,-3,0,0.11845237016677856,0,0.0032633999633789063,0,1,3.9159998893737793
Mara,10/10/1970,13/04/1987,1,1,0,0,NA,0.7105385065078735,1,0.0314809,0,0,0
Mara,05/12/1987,02/06/1992,1,1,0,-4,0,0.7105385065078735,1,0.04072070068359375,0,0,0.12999999523162842
Marcos,30/12/1965,25/02/1986,0,0,0,-11,0,0.745177149772644,0,0.022330500488281252,0,1,2.2769999504089355
"Margai,M",27/04/1961,28/04/1964,1,1,0,0,NA,0.7688465118408203,1,0.0125945,0,0,0.039000000804662704
Martinez Trueba,01/03/1951,01/03/1954,0,0,0,8,0,0.1981624960899353,0,0.055145800781250004,0,1,0.04500000178813934
Masire,13/07/1980,31/03/1998,0,0,0,2,0,0.5063918232917786,1,0.027229599609375002,0,0,0.07900000363588333
Mba,17/08/1960,17/02/1964,0,0,1,0,NA,0.6881427764892578,0,0.0674139,0,0,0
Mba,20/02/1964,28/11/1967,0,0,1,0,0,0.6881427764892578,0,0.093391298828125,0,0,0.004000000189989805
Mbeki,16/06/1999,31/12/2004,1,1,0,0,0,0.8772270679473877,1,0.076967001953125,0,0,0.27399998903274536
Medici,25/10/1969,15/03/1974,0,0,1,0,0,0.07058024406433105,0,0.0359364990234375,0,1,1.1009999513626099
Megawati Sukarnoputri,24/07/2001,20/10/2004,0,0,1,0,0,0.7640583515167236,0,0.037718601074218754,0,0,11.300000190734863
Meles Zenawi,27/05/1991,31/12/2004,1,1,0,9,0,0.6935932636260986,0,0.004637300109863281,0,0,1.7960000038146973
"Melgar Castro, Juan Alberto",22/04/1975,07/08/1978,0,0,1,0,0,0.16173255443572998,0,0.018688900146484375,0,1,0.37599998712539673
Mendez Manfredini,01/09/1976,01/09/1981,0,0,1,1,0,0.1981624960899353,0,0.0678118017578125,0,1,0.11500000208616257
Mendez Montenegro,01/07/1966,01/07/1970,0,0,0,8,1,0.6436841487884521,0,0.027199899902343748,0,1,0.22599999606609344
Menem,08/07/1988,10/12/1999,0,0,0,-1,0,0.30731916427612305,0,0.096241103515625,0,1,1.4420000314712524
Mengistu Marriam,11/02/1977,21/05/1991,1,1,0,-1,NA,0.6935932636260986,0,0.004956900024414063,0,0,0.7269999980926514
Mesic,18/02/2000,31/12/2004,0,0,0,7,1,0.3342210054397583,0,0.08608990234375,0,0,0.08399999886751175
Micombero,28/11/1966,01/11/1976,0,0,1,-2,0,0.03551065921783447,0,0.006411099853515625,0,0,0.006000000052154064
Milosevic,15/05/1989,07/10/2000,0,0,0,-1,0,0.7227722406387329,0,0.0709193994140625,0,0,0.777999997138977
Mintoff,21/06/1971,22/12/1984,1,1,0,NA,0,NA,1,0.02997280029296875,NA,0,0.017000000923871994
Mireya Moscoso,01/09/1999,01/09/2004,1,1,0,0,0,0.26085156202316284,0,0.076763701171875,0,0,1.3270000219345093
Mkapa,05/11/1995,31/12/2004,1,1,0,4,0,0.925034761428833,1,0.004758500061035157,0,0,0.7039999961853027
Mobutu,25/11/1965,16/05/1997,0,0,1,6,0,0.9016318321228027,0,0.00766,0,0,0.08799999952316284
Mogae,31/03/1998,31/12/2004,1,1,0,0,0,0.5063918232917786,1,0.06506419921875,0,0,0.5640000104904175
Mohammad Reza,19/08/1953,16/01/1979,0,0,0,-9,0,0.7565816640853882,0,0.026453798828125,1,1,0.859000027179718
Mohammed V,02/03/1956,26/02/1961,0,0,1,0,NA,0.5340092182159424,0,0.0127814,0,0,0
Mohan Rana,09/02/1948,18/02/1951,0,0,1,0,0,0.6992368698120117,0,0.008001599731445312,0,0,0
Moi,22/08/1978,30/12/2002,0,0,0,5,0,0.833253800868988,1,0.011852399902343751,0,0,0.8460000157356262
Mokhehle,14/09/1994,29/05/1998,0,0,0,0,0,0.22248250246047974,1,0.0136243994140625,0,0,0.07599999755620956
Molina,01/07/1972,01/07/1977,0,0,1,-1,0,0.16591870784759521,0,0.03702550048828125,0,1,0.3930000066757202
Momoh,28/11/1985,29/04/1992,0,0,0,1,0,0.7688465118408203,1,0.0132702001953125,0,0,0.4560000002384186
Monge Alverez,08/05/1982,08/05/1986,0,0,1,0,0,0.07109004259109497,0,0.06608089843750001,0,1,0.5590000152587891
Morales Bermudez,30/08/1975,28/07/1980,0,0,1,10,0,0.5896865129470825,0,0.0512877001953125,0,1,1.4739999771118164
Morauta,14/07/1999,05/08/2002,0,0,0,0,0,0.44505029916763306,1,0.0433314013671875,0,0,0.04699999839067459
Mosisili,29/05/1998,31/12/2004,0,1,0,0,1,0.22248250246047974,1,0.017004100341796877,0,0,0.05299999937415123
Mswati,25/04/1986,31/12/2004,0,0,1,1,0,0.386751651763916,1,0.054728701171875,0,0,0.13199999928474426
Mubarak,14/10/1981,31/12/2004,0,0,1,0,0,0.044008493423461914,1,0.025768200683593753,1,0,1.628000020980835
Mugabe,04/03/1980,31/12/2004,0,0,0,-8,0,0.5439504384994507,1,0.031398798828125,0,0,0.5529999732971191
Muhammad VI,23/07/1999,31/12/2004,0,1,0,0,0,0.5340092182159424,0,0.0382531005859375,0,0,0.14300000667572021
Mullah Omar,27/09/1996,13/11/2001,0,0,0,-7,0,0.6582809686660767,0,0.009208300170898439,0,0,0.08399999886751175
Muluzi,21/05/1994,24/05/2004,1,1,0,13,1,0.6202696561813354,1,0.006698499755859375,0,0,0.26499998569488525
Musa,28/08/1998,31/12/2004,1,1,0,NA,0,NA,1,0.0588566015625,NA,0,0.3449999988079071
Museveni,29/01/1986,31/12/2004,0,0,0,-4,0,0.8994653224945068,1,0.0068002001953125,0,0,0.34200000762939453
Musharraf,14/10/1999,31/12/2004,0,0,1,-12,0,0.6445090174674988,1,0.02435090087890625,0,0,5.90500020980835
Mwambutsa,01/07/1962,08/07/1966,0,0,1,-5,NA,0.03551065921783447,0,0.0060708,0,0,0
Mwinyi,05/11/1985,05/11/1995,1,1,0,1,0,0.925034761428833,1,0.0050982998657226565,0,0,0.47600001096725464
Najibullah,04/05/1986,16/04/1992,0,0,0,NA,0,0.6582809686660767,0,0.025469699707031248,0,0,0.12700000405311584
Namaliu,04/07/1988,17/07/1992,0,1,0,0,0,0.44505029916763306,1,0.03694969970703125,0,0,0.017999999225139618
Nasir,12/12/1957,11/11/1978,0,0,1,NA,NA,NA,1,0.0062616,NA,0,0
Nasser,17/11/1954,28/09/1970,0,0,1,0,0,0.044008493423461914,1,0.013885899658203124,0,0,0.3490000069141388
Nasser (president of UAR),01/02/1958,28/09/1961,0,0,1,NA,0,0.223094642162323,0,0.008373599853515625,1,0,0.32100000977516174
Nazarbaev,24/04/1990,31/12/2004,0,0,0,-3,NA,0.6884735226631165,0,0.0872453,1,0,0
Ne Win,02/03/1962,25/07/1988,0,0,1,-16,0,0.47550487518310547,1,0.004489800109863281,0,1,0.19599999487400055
Nehru,15/08/1947,27/05/1964,1,1,0,0,NA,0.8864781856536865,1,0.0080454,0,1,0.7860000133514404
Neto,11/11/1975,10/09/1979,0,1,0,0,NA,0.7832817435264587,0,0.0104859,1,0,0.00800000037997961
Neves,01/02/2001,31/12/2004,0,0,0,2,0,NA,0,0.049833598632812504,NA,0,0.04399999976158142
Ngo Dinh Diem,26/06/1954,01/11/1963,0,0,0,0,NA,0.26371169090270996,0,0.00599,0,1,0.0949999988079071
Ngouabi,01/01/1969,18/03/1977,0,0,1,0,0,0.6572123765945435,0,0.011295999755859376,0,0,0.017000000923871994
Nguema Mbasogo,03/08/1979,31/12/2004,0,0,1,2,0,NA,0,0.025126899414062497,NA,0,0.0010000000474974513
Nguesso,08/02/1979,20/08/1992,0,0,0,6,0,0.6572123765945435,0,0.01677780029296875,1,0,0.010999999940395355
Nguesso,15/10/1997,31/12/2004,0,0,0,-9,0,0.6572123765945435,0,0.0218939990234375,1,0,0.04699999839067459
Nguyen Van Linh,18/12/1986,27/06/1991,0,0,1,0,0,0.266163170337677,0,0.0136975,0,1,2.802999973297119
Nimeiri,22/07/1971,06/04/1985,0,0,1,-5,0,0.7350702881813049,1,0.009975900268554687,0,0,0.13500000536441803
Niyazov,27/10/1990,31/12/2004,0,0,0,-1,NA,0.46236559748649597,0,0.0868466,1,0,0
Nkrumah,21/03/1952,24/02/1966,1,1,0,-1,NA,0.7061232924461365,1,0.006234,0,0,0
Nong Duc Manh,23/04/2001,31/12/2004,0,0,0,0,0,0.266163170337677,0,0.02189409912109375,0,0,2.2660000324249268
Noriega,15/08/1983,03/01/1990,0,0,1,13,0,0.26085156202316284,0,0.062539599609375,0,1,1.2940000295639038
Nujoma,21/03/1990,31/12/2004,0,0,0,0,NA,0.6765490174293518,0,0.0450458,0,0,0.15199999511241913
Nur Ahmad Etemadi,01/11/1967,09/06/1971,0,0,1,0,0,0.6582809686660767,0,0.017258599853515626,0,0,0.1860000044107437
Nyerere,09/11/1961,05/11/1985,1,1,0,0,NA,0.925034761428833,1,0.0045256,0,0,0
Obasanjo,13/02/1976,01/10/1979,0,0,1,7,0,0.868931770324707,1,0.011990999755859376,1,0,5.789000034332275
Obasanjo,29/05/1999,31/12/2004,0,0,1,5,0,0.868931770324707,1,0.010406600341796874,1,0,0.23000000417232513
Obote,17/12/1980,27/07/1985,0,0,0,NA,1,0.8994653224945068,1,0.007839400024414063,0,0,0.3240000009536743
Obote,09/10/1962,25/01/1971,0,0,0,-14,NA,0.8994653224945068,1,0.0087399,0,0,0.03999999910593033
Ochirbat,12/03/1990,20/06/1997,0,0,0,17,1,0.3832249641418457,0,0.0186193994140625,0,0,0.0020000000949949026
Odria,28/07/1950,28/07/1956,0,0,1,4,0,0.5896865129470825,0,0.02131889892578125,0,1,0.25200000405311584
Olivier,05/03/1962,21/06/1971,0,0,0,NA,NA,NA,1,0.0196377,NA,0,0.006000000052154064
Ongania,28/06/1966,08/06/1970,0,0,1,-8,0,0.30731916427612305,0,0.087693203125,0,1,0.6620000004768372
Orlich,08/05/1962,08/05/1966,0,0,1,0,0,0.07109004259109497,0,0.042565400390625,0,1,0.1940000057220459
Osman Daar,01/07/1960,10/07/1967,0,0,1,0,NA,0.07674294710159302,1,0.015822,0,0,0
Osorio,14/09/1950,14/09/1956,0,0,1,1,0,0.16591870784759521,0,0.02597590087890625,0,1,0.10499999672174454
Ospina Perez,07/08/1946,07/08/1950,1,1,0,-10,0,0.06015270948410034,0,0.025348806152343747,0,1,0.29100000858306885
Otilia Ulate,08/11/1949,08/11/1953,0,0,1,0,0,0.07109004259109497,0,0.03195,0,1,0.19900000095367432
Oueddei,23/03/1979,07/06/1982,0,0,1,3,0,0.8262728452682495,0,0.008576900024414063,0,0,0.02199999988079071
Ould Daddah,28/11/1960,10/07/1978,0,1,0,-3,NA,0.3354172706604004,0,0.0111887,0,0,0
Ould Haidalla,04/01/1980,12/12/1984,0,0,1,0,0,0.3354172706604004,0,0.013904699707031249,0,0,0.004999999888241291
Pacheco Areco,06/12/1967,01/03/1972,0,0,1,-5,0,0.1981624960899353,0,0.05953209960937501,0,1,0.09700000286102295
Panday,09/11/1995,24/12/2001,1,1,0,1,0,0.5584315061569214,1,0.101917802734375,1,0,2.0369999408721924
Pastrana Borrero,07/08/1970,07/08/1974,0,1,0,0,0,0.06015270948410034,0,0.0336077001953125,0,1,1.8329999446868896
Patasse,22/10/1993,15/03/2003,0,1,0,11,1,0.6862994432449341,0,0.007857000122070312,0,0,0.020999999716877937
Patterson,30/03/1992,31/12/2004,1,1,0,-1,0,0.04576665163040161,1,0.044156298828124996,0,0,2.4100000858306885
Paul Kagame,19/07/1994,31/12/2004,0,0,1,4,0,0.12921082973480225,0,0.00899969970703125,0,0,0.10000000149011612
Paz Estenssoro,17/04/1952,17/06/1956,0,0,0,1,0,0.678132951259613,0,0.030491201171875,0,1,0.19200000166893005
Paz Estenssoro,06/08/1985,06/08/1989,0,0,0,1,0,0.678132951259613,0,0.0262818994140625,1,1,0.8849999904632568
Paz Estenssoro,06/08/1960,04/11/1964,0,0,0,0,0,0.678132951259613,0,0.024036899414062497,0,1,0.18299999833106995
Paz Garcia,07/08/1978,27/01/1982,0,0,1,5,0,0.16173255443572998,0,0.021378999023437498,0,1,0.4359999895095825
Paz Zamora,06/08/1989,06/08/1993,0,1,0,0,0,0.678132951259613,0,0.0251668994140625,1,1,0.8159999847412109
Peralta Azurdia,31/03/1963,01/07/1966,0,0,1,0,0,0.6436841487884521,0,0.0257589990234375,0,1,0.20600000023841858
Perez Jimenez,13/11/1950,23/01/1958,0,0,1,0,0,0.10734701156616211,0,0.0452366943359375,1,1,0.44600000977516174
Peron,04/06/1946,20/09/1955,0,1,0,-1,0,0.30731916427612305,0,0.0541498046875,0,1,0.10199999809265137
Phieu,29/12/1997,22/04/2001,0,0,1,0,NA,0.266163170337677,0,0.01936530029296875,0,0,0.9750000238418579
Phomivan,02/12/1975,25/11/1992,0,0,0,-2,0,0.5996567010879517,0,0.009866699829101563,0,0,0.11299999803304672
Phounsavanh,25/11/1992,24/02/1998,0,0,1,0,0,0.5996567010879517,0,0.01305030029296875,0,0,0.08500000089406967
Pindling,16/01/1967,21/08/1992,1,1,0,NA,NA,NA,1,0.1669616,NA,1,0.1120000034570694
Pires,08/07/1975,04/04/1991,0,1,0,2,NA,NA,0,0.0184642,NA,0,0
Pizano,07/08/1994,07/08/1998,0,0,0,-2,0,0.06015270948410034,0,0.0560818017578125,0,0,3.0769999027252197
Plaek Pibulsongkram,21/08/1946,16/09/1957,0,0,1,0,0,0.6636521220207214,0,0.01507900146484375,0,1,0.02800000086426735
Plaza Lasso,01/09/1948,01/09/1952,1,1,0,3,1,0.53385329246521,0,0.010390001220703125,0,1,0.09200000017881393
Pol Pot,11/04/1975,07/01/1979,0,1,0,-2,0,0.2969233989715576,0,0.0200977001953125,0,1,0
Ponce Enriquez,01/09/1956,01/09/1960,0,0,0,0,0,0.53385329246521,0,0.0218489990234375,0,1,0.16599999368190765
Poveda Burbano,11/01/1976,10/08/1979,0,0,1,0,0,0.53385329246521,0,0.0411485986328125,1,1,0.550000011920929
Prem,03/03/1980,04/08/1988,0,0,1,0,1,0.6636521220207214,0,0.02610169921875,0,1,4.889999866485596
Premadasa,02/01/1989,01/05/1993,0,0,1,0,1,0.46704143285751343,1,0.024749599609375,0,0,1.781999945640564
Preval,07/02/1996,07/02/2001,0,1,0,-9,0,0.013591229915618896,0,0.019118000488281252,0,0,0.7329999804496765
Price,07/04/1961,17/12/1984,1,1,1,NA,NA,NA,1,0.0521408,NA,0,0.032999999821186066
Price,07/11/1989,03/07/1993,1,1,1,NA,0,NA,1,0.044589501953125,NA,0,0.2549999952316284
Prio Socarres,10/10/1948,10/03/1952,0,0,0,0,0,0.03572362661361694,0,0.02668010009765625,0,1,0.5849999785423279
Putin,01/01/2000,31/12/2004,0,0,0,3,0,0.33309298753738403,0,0.085313798828125,1,0,6.609000205993652
Qabus Bin Said,23/07/1970,31/12/2004,0,0,1,2,0,0.23702000081539154,0,0.09072919921875,1,0,0.0010000000474974513
Qaddafi,01/09/1969,31/12/2004,0,0,1,0,0,0.21545672416687012,0,0.10334849609375,1,0,0.09600000083446503
"Quiros, Daniel",08/05/1974,08/05/1978,0,1,0,0,0,0.07109004259109497,0,0.061464599609375004,0,1,0.3449999988079071
Quirrino,16/04/1948,30/12/1953,0,0,0,3,0,0.745177149772644,0,0.013015201416015625,0,1,0.39500001072883606
Rabuka,02/06/1992,19/05/1999,0,0,0,0,0,0.7105385065078735,1,0.051957500000000004,0,0,0.09000000357627869
Rafsanjani,17/08/1989,03/08/1997,0,0,0,0,0,0.7565816640853882,0,0.04072429931640625,1,1,7.758999824523926
Rahman,21/08/1959,22/09/1970,1,1,0,-9,0,0.6515210866928101,1,0.016156300048828124,0,0,0.20200000703334808
Rakhmonov,20/11/1992,31/12/2004,0,0,0,-1,0,0.5515695214271545,0,0.024152099609375,0,0,0
Ramgoolam,12/03/1968,16/06/1982,1,1,0,0,NA,0.580323338508606,1,0.0409854,NA,0,0.017000000923871994
Ramgoolam N.,22/12/1995,17/09/2000,1,1,0,0,0,0.580323338508606,1,0.11588400390625,0,0,0.22200000286102295
Ramos,30/06/1992,30/06/1998,1,1,0,0,0,0.745177149772644,0,0.031839699707031245,0,0,3.6070001125335693
Ranariddh,21/09/1993,06/07/1997,0,1,0,0,0,0.2969233989715576,0,0.0239431005859375,0,0,0.07500000298023224
Rao,21/06/1991,16/05/1996,0,0,0,1,0,0.8864781856536865,1,0.018983599853515623,0,0,25.857999801635742
Ratsiraka,09/02/1997,06/07/2002,0,0,0,-2,0,0.06219041347503662,0,0.008453699951171874,0,0,0.11599999666213989
Ratsiraka,15/06/1975,27/03/1993,0,0,0,12,0,0.06219041347503662,0,0.0129393994140625,0,0,0.006000000052154064
Rawlings,31/12/1981,07/01/2001,0,0,0,-4,0,0.7061232924461365,1,0.011416099853515625,0,0,1.5640000104904175
Razak,22/09/1970,14/01/1976,1,1,0,3,0,0.6515210866928101,1,0.02460030029296875,0,0,0.5170000195503235
Reina,27/01/1994,27/01/1998,1,1,0,0,0,0.16173255443572998,0,0.02330199951171875,0,0,0.9620000123977661
Rivera,01/07/1962,01/07/1967,0,0,1,3,0,0.16591870784759521,0,0.02973679931640625,0,1,0.17599999904632568
Robinson,18/12/1986,07/12/1991,1,1,0,0,0,0.5584315061569214,1,0.104871103515625,1,1,1.9270000457763672
Robles,01/10/1964,01/10/1968,0,1,0,0,0,0.26085156202316284,0,0.02912260009765625,1,1,0.6060000061988831
Rodriguez Echeverria,08/05/1998,08/05/2002,1,1,0,0,0,0.07109004259109497,0,0.07411259765625,0,0,0.8149999976158142
Rodriguez Lara,15/02/1972,11/01/1976,0,0,1,-5,0,0.53385329246521,0,0.027502299804687498,0,1,0.6570000052452087
Rodriguez Pedotti,03/02/1989,15/08/1993,0,0,1,15,0,0.1449223756790161,0,0.050307597656249994,0,1,0.19900000095367432
Rojas Pinillia,13/06/1953,10/05/1957,1,1,0,0,0,0.06015270948410034,0,0.02558800048828125,0,1,0.9520000219345093
Sabah As-Sabah,24/11/1965,31/12/1977,0,0,1,-2,0,0.18468618392944336,1,0.6491351171875,1,0,0.16699999570846558
Sadat,28/09/1970,06/10/1981,0,0,1,1,0,0.044008493423461914,1,0.0185952001953125,0,0,0
Saddam Hussein,16/07/1979,09/04/2003,0,0,0,-2,0,0.36247116327285767,1,0.03272330078125,1,1,0.8569999933242798
Saksgoburggotski,24/07/2001,31/12/2004,0,0,1,1,0,0.21994948387145996,0,0.072575,0,0,2.8469998836517334
Saleh al-Hashidi,17/07/1978,31/12/2004,0,0,1,4,0,0.037243664264678955,1,0.017586400146484375,0,0,0.054999999701976776
Salem Aref,08/02/1963,13/04/1966,0,0,1,0,0,0.36247116327285767,1,0.05323259765625,1,1,0.699999988079071
Sanchez Hernandez,01/07/1967,01/07/1972,0,0,1,0,0,0.16591870784759521,0,0.03614800048828125,0,1,0.21899999678134918
Sandiford,01/06/1987,07/09/1994,1,1,0,NA,0,NA,1,0.14370599609375,NA,1,0.32199999690055847
Sanguinetti,01/03/1995,01/03/2000,0,0,0,0,0,0.1981624960899353,0,0.100648701171875,0,0,0.3190000057220459
Sanguinetti,01/03/1985,01/03/1990,0,0,0,17,1,0.1981624960899353,0,0.0676047998046875,0,1,0.18799999356269836
Sankara,04/08/1983,15/10/1987,0,0,1,0,0,0.6782554388046265,0,0.008065999755859376,0,0,0.029999999329447746
Sardar Mohammad Daud Khan,07/09/1953,10/03/1963,0,1,1,0,0,0.6582809686660767,0,0.017258599853515626,0,0,0.07900000363588333
Sardar Mohammad Daud Khan,17/07/1973,27/04/1978,0,1,1,0,0,0.6582809686660767,0,0.021117299804687503,0,0,0.20600000023841858
Sarit,20/10/1958,08/12/1963,0,0,1,-4,0,0.6636521220207214,0,0.00915,0,1,0.7570000290870667
Sarkis,23/09/1976,23/09/1982,0,0,0,0,0,0.13480514287948608,0,0.03588050048828125,0,0,1.2680000066757202
Sarnay,21/03/1985,15/03/1990,0,0,0,11,0,0.07058024406433105,0,0.0606422998046875,0,1,2.381999969482422
Saud,09/11/1953,02/11/1964,0,0,1,0,0,0.05857950448989868,0,0.05571419921875,1,0,0.017000000923871994
Saw Maung,18/09/1988,23/04/1992,0,0,1,1,0,0.47550487518310547,1,0.007789099731445312,0,1,0.19900000095367432
Sawyer,22/11/1990,07/03/1994,1,1,0,6,0,0.8299122452735901,0,0.009609699707031249,0,1,0.5460000038146973
Seaga,01/11/1980,10/02/1989,1,1,0,0,0,0.04576665163040161,1,0.04018389892578125,0,1,1.6200000047683716
Seibou,10/11/1987,16/04/1993,0,0,1,15,0,0.7325880527496338,0,0.011065699462890625,0,0,0.06599999964237213
"Senanayake, Don",04/02/1948,22/03/1952,0,0,0,0,NA,0.46704143285751343,1,0.0083224,0,0,0
"Senanayake, Dudley",25/03/1965,28/05/1970,1,1,0,0,0,0.46704143285751343,1,0.010268499755859375,0,0,0.10100000351667404
Senghor,20/08/1960,31/12/1980,0,1,0,-1,NA,0.7227722406387329,0,0.0177561,0,0,0
Shagari,01/10/1979,31/12/1983,0,0,0,7,1,0.868931770324707,1,0.01278010009765625,1,0,11.088000297546387
Shearer,11/04/1967,02/03/1972,0,0,0,0,0,0.04576665163040161,1,0.03987070068359375,0,1,1.1180000305175781
